,CIRUGIA,EDAD,NUMERO HOSPITAL,TEMPERATURA RECTAL,PULSO,FRECUENCIA RESPIRATORIA,TEMPERATURA EXTREMIDADES,PULSO PERIFERICO,MEMBRANAS MUCUOSAS,TIEMPO LLENADO CAPILAR,DOLOR,PERISTALSIS,DISTENSION ABDOMINAL,VOLUMEN CELULAR ALTO,PROTEINA TOTAL,RESULTADO,LESION QUIRURGICA,CP_DATOS
,2,1,530334,"38,3",40,24,1,1,3,1,3,3,1,"33,00","6,70",1,2,1
,2,2,5299629,"38,3",90,"24,18",1,1,1,1,5,3,1,"40,00","6,20",1,2,1
,1,1,528548,"38,1",66,12,3,3,5,1,3,3,1,"44,00","6,00",1,1,1
,1,1,5290481,"37,6",64,21,1,1,2,1,2,3,1,"40,00","7,00",1,1,1
,1,1,530526,"38,3",72,30,4,3,3,2,3,3,3,"43,00","7,00",1,1,1
,1,1,528653,"37,8",48,12,3,1,1,1,3,3,2,"37,00","5,50",1,2,1
,1,1,529663,"38,2",64,28,1,1,1,1,3,1,1,"49,00","8,60",1,1,1
,2,1,528996,"38,6",52,"24,18",1,1,1,1,3,3,2,"32,00","6,60",1,2,1
,2,2,5288249,39,150,72,1,1,1,1,3,3,1,"47,00","8,50",1,1,1
,1,1,529888,"37,9",60,15,3,1,4,2,5,4,4,"65,00","7,50",1,1,1
,2,1,529766,"38,6",46,"24,18",1,1,2,1,1,3,2,"49,00","9,10",1,2,1
,2,1,530544,"38,6",40,20,1,1,1,1,3,3,1,"41,00","6,40",1,2,1
,1,1,529667,39,64,36,3,1,4,2,3,3,2,"44,00","7,50",1,1,1
,2,1,528931,"38,4",54,24,1,1,1,1,1,3,1,"49,00","7,20",1,2,1
,2,1,530276,38,48,12,1,1,1,1,1,3,1,"42,00","6,30",1,2,1
,1,1,529424,"37,8",48,28,1,1,1,1,1,2,1,"46,00","5,90",1,2,1
,1,1,527463,"37,5",96,18,1,3,6,2,3,4,2,"69,00","8,90",1,1,1
,1,1,529849,"37,8",60,80,1,3,2,2,2,3,3,"40,00","4,50",1,1,1
,2,1,529703,39,64,40,1,1,5,1,3,3,2,"42,00","7,50",1,2,1
,2,1,530002,"39,6",108,51,3,3,6,2,2,4,3,"59,00","8,00",1,2,1
,1,1,528668,"38,3",52,96,1,3,3,1,3,3,1,"43,00","6,10",1,1,1
,1,1,528682,"39,4",54,66,1,1,2,1,2,3,2,"39,00","6,00",1,1,1
,1,1,5262541,"37,4",50,32,3,3,1,1,4,4,1,"45,00","7,90",1,1,1
,1,1,529424,"37,8",48,28,1,1,1,2,1,2,1,"46,00","5,90",1,2,1
,1,1,529272,"38,3",132,"24,18",1,3,6,2,2,4,2,"57,00","8,00",1,1,1
,2,1,528804,"38,6",48,20,3,1,1,1,1,3,2,"50,00","7,30",1,2,1
,2,1,528247,38,48,20,3,3,4,1,1,4,2,"49,00","8,30",1,2,1
,2,1,528996,"38,6",52,20,1,1,1,1,3,3,2,"36,00","6,60",1,2,1
,2,1,528134,"32,61","59,15",12,1,1,2,1,2,1,2,"44,00","7,50",1,2,1
,1,1,528523,"38,7",76,"24,18",1,1,5,2,3,3,2,"50,00","8,00",1,1,1
,1,1,527916,"38,3",40,18,1,1,1,1,3,1,1,"43,00","5,90",1,2,1
,2,1,528305,"37,8",48,14,1,1,1,1,3,3,2,"35,00","7,50",1,2,1
,1,1,527365,"38,4",80,30,4,3,1,1,3,3,3,"32,00","6,10",1,1,1
,1,1,528742,"37,1",40,8,1,1,4,1,3,3,1,"23,00","6,70",1,1,1
,1,1,528047,"37,3",48,12,1,1,3,1,3,1,3,"40,00","6,60",1,1,1
,1,1,529528,"39,2","59,15",23,3,1,3,1,4,4,2,"36,00","6,60",1,1,1
